0,25,180,7730337
99,25,235,6796117
30,27,205,
28,22,185,1148640
8,29,231,5000000
90,29,240,12000000
55,21,235,1170960
41,25,238,2165160
12,22,190,1824360
36,22,220,3431040
7,24,260,2569260
4,27,185,6912869
11,27,220,3425510
13,20,215,1749840
44,26,253,2616975
44,27,216,3425510
22,24,190,845059
21,28,200,1500000
24,21,220,1335480
2,32,200,6300000
10,22,208,1599840
6,26,219,134215
0,23,175,1500000
11,28,275,19689000
1,21,200,1140240
33,26,220,947276
41,25,237,981348
14,26,248,947276
15,28,205,947276
30,27,221,11235955
4,30,210,8000000
17,33,220,1635476
43,23,205,30888
7,32,240,22875000
3,34,200,7402812
11,25,210,845059
2,24,200,845059
13,23,195,1572360
8,28,255,12650000
9,26,250,3750000
6,20,240,4131720
1,26,278,2814000
42,28,235,1636842
18,32,195,947276
23,25,240,4000000
5,23,205,167406
42,37,254,
0,25,201,947276
33,25,215,1000000
21,22,250,4626960
39,22,210,845059
22,22,245,1074169
7,32,248,6500000
5,24,200,2144772
12,24,200,525093
4,22,228,3457800
8,20,275,4582680
1,27,175,947276
11,22,205,2869440
31,25,206,947276
35,20,220,525093
8,23,245,2814000
20,20,205,1524000
5,29,212,13600000
10,26,220,10050000
3,29,250,2500000
6,24,190,7000000
7,30,205,12000000
92,23,220,1842000
54,27,235,6268675
24,23,215,650000
31,25,195,3553917
4,36,240,2900000
1,29,250,245177
17,24,255,4660482
55,24,190,1509360
19,33,194,2500000
40,24,225,3873398
12,31,260,13800000
21,25,175,947276
30,28,190,11370786
31,26,265,2008748
23,26,230,14260870
9,32,215,11710456
34,30,192,5543725
36,20,220,1131960
20,23,240,845059
4,30,220,1270964
5,28,255,3815000
11,26,215,15501000
18,33,273,289755
45,27,250,1100602
19,29,250,111444
11,36,195,5675000
22,23,225,525093
8,29,235,9650000
32,27,251,18907726
33,28,215,1100602
6,27,265,19689000
12,29,230,947276
3,31,175,21468695
34,38,235,3376000
9,39,185,947726
4,31,190,7085000
25,23,200,3110796
30,25,195,1159680
2,31,250,3000000
28,24,250,845059
3,23,210,700000
24,37,212,25000000
6,24,194,845059
17,29,270,15592217
9,33,200,525093
4,25,230,1724250
7,23,230,1155600
30,21,250,3132240
1,20,195,5103120
50,27,270,981348
23,29,175,7000000
37,36,260,947276
0,31,210,5219169
2,26,190,13500000
1,19,206,2127840
10,28,209,206192
4,33,240,13000000
20,21,200,1160160
23,25,215,981348
3,24,189,13500000
21,22,260,3807120
30,27,228,1035000
25,25,175,55722
14,32,190,947276
35,30,242,5500000
17,31,245,5500000
12,22,230,2041080
15,23,260,83397
13,25,240,981348
5,27,213,1015421
3,30,210,6060606
31,36,228,1449187
18,27,225,2836186
0,22,240,3398280
7,28,175,5013559
15,25,270,15851950
30,25,185,947276
26,24,220,525093
8,29,230,12403101
41,27,265,7700000
23,23,195,3156600
25,24,238,845059
9,30,186,9500000
41,25,250,845059
0,31,161,2250000
21,26,220,16407500
34,35,230,4500000
6,23,275,525093
16,35,250,7448760
22,30,225,8500000
7,27,185,947276
3,24,225,2380440
44,25,220,5543725
55,27,191,1015421
13,31,232,13400000
5,21,230,1391160
1,27,190,20093064
20,24,200,1535880
8,25,198,1147276
9,33,255,8193029
2,24,193,16407501
23,31,250,22970500
24,35,233,947276
30,35,225,
1,35,218,947276
14,31,260,1276000
0,27,251,19689000
12,25,179,111196
20,29,275,4950000
4,25,220,8988765
5,30,225,5000000
13,25,238,14260870
52,33,198,2100000
50,33,245,2500000
12,29,260,6500000
22,36,172,2170465
17,25,189,111444
25,25,205,1252440
5,23,205,2891760
8,23,200,845059
0,22,279,3272091
34,23,235,16000000
6,23,205,600000
1,26,208,13913044
3,20,245,2841960
20,28,210,6270000
13,26,235,5000000
43,31,240,3000000
5,27,255,4050000
25,24,250,1007026
11,30,185,10300000
13,26,220,17120106
3,30,188,8000000
27,28,235,4000000
44,25,225,1358880
10,28,195,211744
28,29,250,4000000
0,29,231,4394225
40,22,222,1100000
2,30,205,7000000
33,20,243,2357760
42,25,250,845059
1,23,180,1007026
34,21,222,1953960
19,27,200,3000000
5,24,190,2399040
9,25,195,947276
11,21,194,1662360
31,25,229,2943221
17,21,246,855000
3,28,210,8000000
22,24,234,14700000
15,26,265,16407500
6,32,225,295327
77,23,257,845059
12,21,250,5152440
18,27,249,2109294
21,29,217,6600000
20,19,202,1733040
1,22,228,1449000
5,31,185,4290000
21,28,200,1100602
2,31,205,3950313
34,33,185,4053446
42,33,245,2085671
23,29,220,16407500
11,28,270,1270964
50,29,245,525093
41,37,245,8333334
27,32,275,5200000
25,27,230,15361500
7,24,240,845059
3,31,232,947276
8,31,200,5378974
1,30,215,8193030
8,27,235,306527
2,27,185,6486486
33,30,186,8229375
15,22,240,1242720
7,22,230,1646400
0,27,200,200600
13,26,220,15756438
35,22,240,1000000
12,30,265,22359364
6,24,252,2489530
32,23,205,3189794
20,25,222,2288205
5,30,225,947276
31,38,185,947276
3,21,209,1404600
9,34,213,5158539
7,37,245,5000000
22,36,226,3542500
15,39,220,4088019
11,28,175,9588426
8,23,165,700902
4,29,180,
33,31,255,19688000
0,25,227,845059
19,23,230,1201440
10,22,239,1230840
5,24,190,
14,24,180,
50,34,260,9638555
1,25,230,9000000
35,28,270,
34,28,210,5464000
42,28,248,4389607
33,28,240,8500000
3,29,255,9213483
8,26,225,1100602
30,27,175,3036927
44,29,230,2850000
23,23,253,7070730
31,23,203,169883
16,30,195,1164858
4,25,210,845059
1,26,220,10734586
2,25,170,845059
15,29,225,1320000
10,27,215,15514031
25,25,220,1015421
11,25,205,10595507
0,27,220,55722
5,31,270,947276
20,28,220,3382023
12,30,240,19689000
1,22,230,1142880
15,36,235,947276
33,34,250,7500000
21,40,250,5250000
20,38,205,2814000
14,28,215,10000000
2,24,230,16407500
40,27,290,1200000
23,33,199,200600
24,40,200,250750
8,27,185,3578947
9,34,185,13437500
17,26,195,525093
30,35,250,1499187
24,26,201,2000000
10,24,205,1304520
12,35,190,2854940
15,30,245,12000000
43,31,235,1000000
26,35,212,5746479
4,31,246,18671659
